Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
morphine,3-21G,1.412308000,,,1.374008000,,,6.232553000,,,2.972533000,,,-934.457741503,5.46 GB,
morphine,6-31G,1.613834000,,,1.734447000,,,6.881564000,,,3.556524000,,,-939.338883044,5.49 GB,
morphine,6-31G*,3.429225000,,,3.045873000,,,11.013499000,,,6.825425000,,,-939.606481466,6.89 GB,
morphine,6-31G**,4.286204000,,,3.463825000,,,12.762955000,,,8.184911000,,,-939.641712691,7.09 GB,
morphine,6-31+G**,6.980672000,,,5.974320000,,,19.117269000,,,13.580685000,,,-939.676926641,7.68 GB,
morphine,def2-SV(P),3.656602000,,,3.236511000,,,11.402830000,,,7.270231000,,,-938.927122123,6.90 GB,
morphine,def2-SVP,4.643071000,,,3.947414000,,,13.623510000,,,9.056240000,,,-938.974457194,7.11 GB,
