Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
taxol,3-21G,127.525961000,,,13.718322000,,,159.159172000,,,142.813027000,,,-2911.115777825,10.19 GB,
taxol,6-31G,116.285713000,,,16.939821000,,,152.664385000,,,134.603817000,,,-2926.286500423,11.24 GB,
taxol,6-31G*,197.178372000,,,17.916291000,,,245.815818000,,,217.565965000,,,-2927.147969700,15.96 GB,
taxol,6-31G**,275.372829000,,,20.145540000,,,331.838638000,,,299.172985000,,,-2927.240425210,18.69 GB,
taxol,6-31+G**,492.342167000,,,57.791704000,,,617.781050000,,,557.528608000,,,-2927.342667506,40.65 GB,
taxol,def2-SV(P),500.200957000,,,47.478107000,,,584.119252000,,,554.310996000,,,-2925.021069249,16.10 GB,
taxol,def2-SVP,367.676866000,,,29.088276000,,,436.140010000,,,401.743821000,,,-2925.142664281,19.18 GB,
