Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
taxol,3-21G,92.747254000,,,,,,109.435405000,,,93.971077000,,,-2893.608967074,7.73 GB,
taxol,6-31G,93.024469000,,,,,,111.878199000,,,94.201721000,,,-2908.492719316,11.24 GB,
taxol,6-31G*,197.225478000,,,,,,227.792967000,,,199.887910000,,,-2909.727652365,15.96 GB,
taxol,6-31G**,293.721964000,,,,,,329.798512000,,,297.716950000,,,-2909.830437874,18.69 GB,
taxol,6-31+G**,351.817614000,,,,,,417.107305000,,,357.314134000,,,-2909.895364342,40.65 GB,
taxol,def2-SV(P),210.626265000,,,,,,242.306223000,,,213.439502000,,,-2907.589014669,16.04 GB,
taxol,def2-SVP,294.188124000,,,,,,331.939279000,,,298.212724000,,,-2907.730693615,19.18 GB,
