Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
taxol,3-21G,0.469999000,,,12.293598000,,,22.398961000,,,14.098902000,,,-2910.056740847,6.67 GB,
taxol,6-31G,0.650453000,,,20.278219000,,,32.082917000,,,22.563162000,,,-2925.307029565,7.08 GB,
taxol,6-31G*,1.115503000,,,25.016185000,,,44.054931000,,,29.465006000,,,-2926.098124095,10.13 GB,
taxol,6-31G**,1.303617000,,,25.508822000,,,48.251004000,,,31.543239000,,,-2926.190873651,11.65 GB,
taxol,6-31+G**,15.216870000,,,303.520987000,,,388.106706000,,,358.048844000,,,-2926.314594459,25.39 GB,
taxol,def2-SV(P),2.378437000,,,49.846953000,,,74.018264000,,,59.095054000,,,-2923.962291302,10.49 GB,
taxol,def2-SVP,11.632887000,,,229.628594000,,,298.841968000,,,281.630338000,,,-2924.082881659,11.98 GB,
